year,P,LP,VUS,LB,B
1981.0,1,0,0,0,0
1984.0,3,0,0,0,0
1987.0,4,0,0,0,0
1988.0,6,0,0,0,0
1990.0,8,0,0,0,0
1991.0,12,0,0,0,0
1992.0,15,0,0,0,1
1993.0,19,0,0,0,1
1994.0,21,0,0,0,1
1995.0,32,0,0,0,1
1996.0,34,0,0,0,1
1997.0,36,0,0,0,1
1998.0,41,0,0,0,1
1999.0,45,0,0,0,1
2000.0,56,0,0,0,1
2001.0,63,0,0,0,1
2002.0,75,0,0,0,1
2003.0,84,0,0,0,1
2004.0,92,0,0,0,1
2005.0,101,0,0,0,1
2006.0,105,0,0,0,1
2007.0,108,0,0,0,1
2008.0,111,0,0,0,1
2009.0,118,0,0,0,1
2010.0,141,0,0,0,1
2011.0,193,0,4,1,5
2012.0,204,1,6,1,5
2013.0,214,1,16,3,8
2014.0,230,4,18,3,8
2015.0,247,6,21,6,9
2016.0,258,8,44,9,11
2017.0,268,26,94,23,30
2018.0,287,33,336,132,197
2019.0,297,41,378,204,240
2020.0,304,46,407,235,248
2021.0,327,52,578,313,262
2022.0,361,68,826,469,283
2023.0,380,80,1065,612,290
2024.0,404,93,1367,809,303
2025.0,420,102,1744,995,342
2026.0,424,108,1779,1028,365
