year,P,LP,VUS,LB,B
1981,1,0,0,0,0
1982,1,0,0,0,0
1983,1,0,0,0,0
1984,3,0,0,0,0
1985,3,0,0,0,0
1986,3,0,0,0,0
1987,4,0,0,0,0
1988,6,0,0,0,0
1989,6,0,0,0,0
1990,8,0,0,0,0
1991,12,0,0,0,0
1992,15,0,0,0,1
1993,19,0,0,0,1
1994,21,0,0,0,1
1995,32,0,0,0,1
1996,34,0,0,0,1
1997,36,0,0,0,1
1998,41,0,0,0,1
1999,45,0,0,0,1
2000,56,0,0,0,1
2001,63,0,0,0,1
2002,75,0,0,0,1
2003,84,0,0,0,1
2004,92,0,0,0,1
2005,101,0,0,0,1
2006,105,0,0,0,1
2007,108,0,0,0,1
2008,111,0,0,0,1
2009,118,0,0,0,1
2010,141,0,0,0,1
2011,193,0,4,1,5
2012,204,1,6,1,5
2013,212,1,17,4,8
2014,228,4,19,4,8
2015,245,6,22,6,10
2016,255,9,46,8,12
2017,260,30,91,31,29
2018,279,35,341,145,185
2019,278,49,382,216,235
2020,285,54,411,248,242
2021,308,61,580,326,257
2022,341,77,829,482,278
2023,363,86,1064,630,284
2024,388,98,1365,825,300
2025,400,112,1708,1032,351
