VariationID,first,latest
17850,P,LP
17851,P,LB
17865,P,VUS
440842,P,VUS
339629,B,LB
17862,P,LP
478872,P,VUS
17876,P,LB
18095,P,VUS
18133,P,LP
18145,P,LP
8847,P,VUS
14261,P,LP
5213,P,LP
5215,P,LP
5214,P,VUS
5217,P,LP
8848,P,VUS
18094,P,LP
5218,P,LP
17848,P,LB
14256,P,LP
18156,P,B
8852,P,LB
18103,P,LP
18159,P,LP
191773,VUS,LB
191770,VUS,LB
191771,VUS,LB
98004,VUS,LB
192130,LB,B
192129,LB,VUS
120170,P,LP
180476,VUS,LB
98080,LP,P
445645,LB,B
242765,VUS,LB
898004,VUS,LB
235387,LB,B
261064,VUS,LB
522336,LB,VUS
339645,VUS,B
98231,LP,P
17871,P,VUS
425138,VUS,LB
448146,VUS,LP
499713,VUS,B
599622,LP,P
424013,LP,VUS
441268,P,LP
295994,B,LB
586386,LP,P
884412,VUS,LB
898003,VUS,LB
904022,VUS,LB
874474,VUS,LB
887628,VUS,LB
886433,B,LB
256187,LB,B
723135,VUS,LB
323645,LB,VUS
714394,B,LB
705974,VUS,LB
323647,LB,B
707810,B,LB
648859,B,VUS
788154,LB,VUS
718148,VUS,B
448149,B,VUS
586135,B,LB
546799,VUS,LB
585429,B,LB
98113,VUS,P
323648,VUS,LB
314003,LB,B
313984,B,LB
296004,B,LB
314005,B,LB
704545,VUS,LB
313947,LB,B
296005,LB,B
295999,LB,VUS
884729,VUS,LB
886681,LB,B
887626,LB,VUS
889714,B,VUS
446854,LB,B
894930,VUS,LB
356681,VUS,LB
339644,VUS,LB
885670,LB,B
339649,LB,B
885730,VUS,LB
907356,LB,B
356677,VUS,LB
313944,VUS,LB
313948,VUS,LB
313946,VUS,LB
313958,VUS,B
313954,LB,B
339647,LB,B
295989,VUS,LB
295988,VUS,LB
356675,VUS,B
295991,VUS,LB
296002,VUS,B
295995,VUS,LB
313965,VUS,B
314008,B,LB
314004,LB,VUS
721218,LB,B
314001,LB,B
524209,VUS,B
529746,B,LB
533782,LB,B
323646,B,LB
323643,VUS,LB
313978,LB,VUS
313973,B,LB
313970,B,LB
313985,LB,VUS
313999,LB,B
313996,B,LB
313995,LB,B
313994,LB,B
256186,LB,B
886494,LB,VUS
706267,VUS,LB
254713,LB,B
884730,B,LB
896374,VUS,LB
889078,VUS,LB
889079,VUS,LB
884793,B,LB
884667,LB,B
892460,B,VUS
884666,VUS,LB
891265,B,LB
339640,VUS,LB
98208,B,VUS
885669,VUS,LB
339643,VUS,LB
887368,VUS,LB
339637,VUS,LB
886561,LB,VUS
339632,VUS,B
339633,VUS,LB
98223,LP,VUS
665222,P,LP
892459,B,LB
784822,LB,VUS
774042,LB,VUS
98022,LP,P
695402,LB,VUS
98070,VUS,P
635001,P,VUS
98077,LP,P
21028,LP,P
691947,LP,P
769377,LB,B
464899,LB,B
753328,LB,B
638372,VUS,LB
638317,LP,VUS
98217,P,LP
98213,LP,VUS
640843,LB,VUS
1028288,VUS,LB
98225,B,LB
623931,B,LB
2892439,LB,B
1271108,B,LB
2037098,LB,VUS
870542,VUS,LB
845851,P,LP
1156848,VUS,LB
861139,VUS,LP
779286,B,LB
995216,VUS,P
1391887,LB,VUS
776671,LB,B
745686,LB,B
98195,LB,B
992565,P,LP
1722323,VUS,LB
98235,LP,VUS
529747,LB,B
695504,B,LB
1153577,LB,VUS
1256543,B,LB
1132106,VUS,LB
705909,B,LB
1803815,VUS,LB
1178343,B,VUS
1178341,LP,P
2914083,LB,VUS
1424259,LB,VUS
1372949,VUS,LB
478832,VUS,B
478838,VUS,B
1374628,P,VUS
665345,VUS,LP
1643179,LB,B
1518360,VUS,LB
1522518,VUS,LB
98068,LP,P
1026266,LP,VUS
98018,LP,P
1709203,LP,VUS
1612267,LB,B
1695024,VUS,LB
778073,B,LB
1100640,B,LB
98041,P,LP
761546,LB,B
1587532,B,LB
3031050,LB,VUS
706054,B,LB
1411431,VUS,P
1448028,VUS,LB
783226,LB,VUS
2047418,LB,VUS
2062782,LB,VUS
1371948,LB,VUS
339641,VUS,LB
715825,LB,B
2577038,LB,VUS
2684318,VUS,LP
2684335,VUS,LB
1164252,B,LB
2955778,VUS,LP
731189,LB,B
1917985,P,LP
2985383,VUS,LP
2498709,VUS,LB
3036349,VUS,LB
2691701,LB,VUS
4071989,LP,P
2922173,VUS,LP
1541993,LB,B
3723432,LB,VUS
3128067,VUS,LB
3251598,LB,VUS
3308503,VUS,LB
1644912,VUS,LB
3308759,VUS,LB
1624814,LB,B
729651,VUS,LB
1359826,VUS,LB
2724746,LB,B
704661,LB,B
3381122,LP,P
1505666,VUS,LB
3385223,LB,B
3759252,P,LP
2046688,B,LB
4282065,LB,VUS
3759253,VUS,P
4613723,VUS,LB
1077580,VUS,LB
704993,B,LB
